SUBID,NEIGHBOURS
8205614.0,"[8201327.0, 8205537.0, 8205642.0, 8201352.0, 8205342.0, 8205522.0]"
8205342.0,"[8205537.0, 8205384.0, 8205614.0, 8205570.0, 8205522.0]"
8205570.0,"[8205537.0, 8205501.0, 8205384.0, 8205342.0, 8205853.0]"
8205853.0,"[8205878.0, 8205501.0, 8205384.0, 8205570.0, 8200462.0, 8205419.0]"
8208040.0,"[8209831.0, 8210048.0, 8210808.0, 8209267.0, 8209030.0, 8210681.0]"
8209098.0,"[8210852.0, 8210904.0, 8209267.0, 8209920.0, 8210450.0, 8210647.0]"
8209777.0,"[8209267.0, 8210265.0]"
8209823.0,[8209267.0]
8209831.0,"[8208040.0, 8210048.0, 8209267.0]"
8209961.0,[8209267.0]
8210048.0,"[8208040.0, 8209831.0, 8210232.0, 8210881.0, 8207122.0, 8209267.0, 8209920.0, 8209030.0, 8210688.0]"
8210232.0,"[8210048.0, 8207122.0, 8209920.0]"
8210808.0,"[8208040.0, 8210459.0, 8209267.0, 8210265.0, 8211186.0, 8207938.0, 8208396.0, 8210681.0]"
8210852.0,"[8209098.0, 8209267.0, 8209920.0]"
8210881.0,"[8210048.0, 8209920.0, 8000043.0, 8000474.0, 8210688.0, 8210720.0, 8210382.0, 8201093.0]"
8210904.0,"[8209098.0, 8209267.0, 8207314.0, 8210265.0, 8210450.0]"
8207122.0,"[8210048.0, 8210232.0]"
8210459.0,[8210808.0]
8209267.0,"[8208040.0, 8209098.0, 8209777.0, 8209823.0, 8209831.0, 8209961.0, 8210048.0, 8210808.0, 8210852.0, 8210904.0, 8209920.0, 8210265.0]"
8209920.0,"[8210493.0, 8209098.0, 8210048.0, 8210232.0, 8210852.0, 8210881.0, 8209267.0, 8000043.0, 8210647.0]"
8000043.0,"[8210493.0, 8000473.0, 8210881.0, 8209920.0, 8000474.0, 8000475.0]"
8203043.0,"[8202561.0, 8211602.0, 8211455.0, 8203049.0, 8203107.0, 8202972.0, 8218005.0]"
8202561.0,"[8203043.0, 8203049.0, 8202972.0]"
8301277.0,"[8300708.0, 8301143.0, 8301079.0, 8300934.0, 8301006.0]"
8101274.0,[8101268.0]
8118619.0,"[8118760.0, 8118827.0, 8117713.0, 8117939.0, 8118926.0]"
8000046.0,"[8301482.0, 8000317.0, 8301296.0, 8000469.0]"
8303884.0,"[8300422.0, 8000050.0, 8000472.0]"
8303993.0,"[8300405.0, 8303901.0, 8300422.0, 8303849.0, 8303922.0]"
8300405.0,"[8303993.0, 8300422.0]"
8301482.0,"[8000046.0, 8303901.0, 8300422.0, 8000317.0, 8303849.0, 8000468.0, 8000469.0]"
8303901.0,"[8303993.0, 8301482.0, 8300422.0, 8303849.0]"
8300422.0,"[8303884.0, 8303993.0, 8300405.0, 8301482.0, 8303901.0, 8000050.0, 8303922.0, 8303911.0, 8000468.0, 8000472.0, 8305514.0]"
8000050.0,"[8303884.0, 8300422.0, 8000045.0, 8000049.0, 8000471.0, 8000472.0, 8000470.0, 8305561.0, 8305514.0]"
8000045.0,"[8000050.0, 8000049.0, 8000471.0]"
